"date","opponent","game_id"
"11/10/17","Albany","400989985"
"11/14/17","Syracuse","400986055"
"11/17/17","Weber State","400991067"
"11/18/17","Northern Kentucky","401001060"
"11/19/17","Coastal Carolina","401001172"
"11/28/17","Ohio","400990137"
"12/2/17","Fairleigh Dickinson","400990749"
"12/9/17","NJIT","400991097"
"12/12/17","Yale","400991101"
"12/17/17","St. John's","400988530"
"12/19/17","Holy Cross","400991106"
"12/21/17","Rhode Island","400990093"
"12/29/17","Niagara","400991117"
"12/31/17","Canisius","400991122"
"1/5/18","Saint Peter's","400991128"
"1/7/18","Fairfield","400991130"
"1/11/18","Siena","400991137"
"1/14/18","Rider","400991145"
"1/19/18","Monmouth","400991149"
"1/21/18","Canisius","400991154"
"1/27/18","Manhattan","400991163"
"1/29/18","Fairfield","400991165"
"2/2/18","Quinnipiac","400991173"
"2/4/18","Marist","400991174"
"2/8/18","Monmouth","400991180"
"2/10/18","Saint Peter's","400991187"
"2/12/18","Siena","400991190"
"2/16/18","Niagara","400991195"
"2/23/18","Manhattan","400991205"
"2/25/18","Rider","400991212"
"3/3/18","Manhattan","401020181"
"3/4/18","Saint Peter's","401020182"
"3/5/18","Fairfield","401020184"
"3/15/18","Duke","401025836"
