"Number","Name","Position","Height","Weight","Class","Hometown"
"1","D'Angelo Jackson","G","6-4","210","JR","Racine, WI"
"2","Terrell Lewis","G","5-7","150","SR","St. Louis, MO"
"3","Mack Smith","G","6-2","185","FR","Indianapolis, IN"
"4","Montell Goodwin","G","6-2","190","SR","Cleveland, OH"
"5","Ray Crossland","C","6-6","220","SR","St. Louis, MO"
"10","Michael Chavers","C","6-5","185","JR","Los Angeles, CA"
"11","Logan Koch","G","6-1","200","SO","Shawnee, KS"
"12","Justice Green","C","6-5","180","JR","Tuscaloosa, AL"
"13","Shawn Wilson","G","5-11","165","SO","Harvey, IL"
"21","DeVantae' Price","G","6-2","190","SR","Tamms, IL"
"24","Jajuan Starks","C","6-4","215","JR","Fort Wayne, IN"
"25","Muusa Dama","F","6-9","225","SR","Parakou, Benin"
"40","Lucas Jones","F","6-8","205","JR","Prairie Village, KS"
"55","Aboubacar Diallo","F","6-9","200","JR","Abidjan, Ivory Coast"
